epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.07091999799013138,4.627232074737549,0.001,0.09730000048875809,4.1825079917907715
1,0.17197999358177185,3.75580096244812,0.001,0.18000000715255737,3.7406253814697266
2,0.23931999504566193,3.373933792114258,0.001,0.20589999854564667,3.5644373893737793
3,0.2902199923992157,3.0946178436279297,0.001,0.2596000134944916,3.2624542713165283
4,0.33090001344680786,2.8692474365234375,0.001,0.28200000524520874,3.152675151824951
5,0.3706200122833252,2.6821696758270264,0.001,0.2906000018119812,3.1398823261260986
6,0.40318000316619873,2.5281882286071777,0.001,0.33239999413490295,2.913623809814453
7,0.4343000054359436,2.388784408569336,0.001,0.32739999890327454,2.9684224128723145
8,0.46254000067710876,2.2623131275177,0.001,0.27079999446868896,3.382777452468872
9,0.48495998978614807,2.15716290473938,0.001,0.34279999136924744,2.9396934509277344
10,0.5131199955940247,2.0478570461273193,0.001,0.35929998755455017,2.8428561687469482
11,0.5308600068092346,1.9646717309951782,0.001,0.37049999833106995,2.8808393478393555
12,0.5549200177192688,1.8656350374221802,0.001,0.3458999991416931,3.0614724159240723
13,0.5755000114440918,1.7871586084365845,0.001,0.3635999858379364,2.8605728149414062
14,0.5935199856758118,1.7182672023773193,0.001,0.36809998750686646,2.933290719985962
15,0.6132199764251709,1.6466835737228394,0.0003162278,0.3400999903678894,3.2387983798980713
16,0.6331599950790405,1.571090579032898,0.001,0.350600004196167,3.243964910507202
17,0.6469600200653076,1.5083296298980713,0.001,0.32899999618530273,3.4424047470092773
18,0.6655399799346924,1.4460943937301636,0.001,0.35120001435279846,3.3267719745635986
19,0.6748999953269958,1.3994559049606323,0.001,0.3384000062942505,3.486452341079712
20,0.6956800222396851,1.3389019966125488,0.0003162278,0.3377000093460083,3.585312604904175
21,0.7060400247573853,1.290625810623169,0.001,0.35089999437332153,3.387143850326538
22,0.7234200239181519,1.2367873191833496,0.001,0.3474999964237213,3.579169988632202
23,0.7336999773979187,1.1971492767333984,0.001,0.3492000102996826,3.689929246902466
24,0.7447800040245056,1.1617145538330078,0.001,0.319599986076355,4.348198413848877
25,0.7556999921798706,1.119139552116394,0.0003162278,0.3068999946117401,4.115406036376953
26,0.7661399841308594,1.092143177986145,0.001,0.32280001044273376,4.115819931030273
27,0.7753199934959412,1.0580641031265259,0.001,0.3336000144481659,4.1951751708984375
28,0.7875000238418579,1.020990014076233,0.001,0.334199994802475,4.0918354988098145
29,0.7895399928092957,1.0135602951049805,0.001,0.3495999872684479,3.8858370780944824
30,0.7994199991226196,0.988070011138916,0.0003162278,0.3352999985218048,4.084433555603027
31,0.8097000122070312,0.9508913159370422,0.001,0.3463999927043915,4.138253211975098
32,0.8137999773025513,0.9375736117362976,0.001,0.3285999894142151,4.599559307098389
33,0.8238999843597412,0.9123886227607727,0.001,0.32269999384880066,4.810359954833984
34,0.8268799781799316,0.9006175994873047,0.001,0.3391000032424927,4.29707145690918
35,0.8316199779510498,0.886696457862854,0.0003162278,0.30630001425743103,4.691479682922363
36,0.8382800221443176,0.8782572746276855,0.001,0.3271999955177307,4.622958660125732
37,0.8419600129127502,0.8598899841308594,0.001,0.31209999322891235,4.840268135070801
38,0.843940019607544,0.8544368743896484,0.001,0.32190001010894775,4.9911932945251465
39,0.8468800187110901,0.8483409285545349,0.001,0.3310999870300293,4.584151268005371
40,0.8514800071716309,0.8326376676559448,0.0003162278,0.34369999170303345,4.665556907653809
41,0.8654800057411194,0.7969116568565369,0.001,0.34880000352859497,4.469112396240234
42,0.8588200211524963,0.8190127611160278,0.001,0.27469998598098755,5.764179706573486
